# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (-1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.000000e+01
# lRef        : 1.000000e+00
# Aref        : 1.000000e-01
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
50            	-5.897962e-02	-9.350983e-01	-2.267742e-01	-1.723667e-01	-5.440748e-02
100           	-9.417692e-02	-1.013775e+00	-2.683898e-01	-2.283718e-01	-4.001799e-02
150           	2.352851e-01	-9.555614e-01	4.156995e-01	4.431349e-01	-2.743536e-02
200           	-4.601204e-03	-9.760761e-01	-8.410323e-02	-4.665282e-02	-3.745041e-02
250           	7.473081e-02	-9.392460e-01	8.096575e-02	1.152137e-01	-3.424794e-02
300           	5.074972e-02	-9.443645e-01	2.915637e-02	6.532791e-02	-3.617154e-02
350           	5.867605e-02	-9.447514e-01	4.689448e-02	8.212328e-02	-3.522881e-02
400           	5.705882e-02	-9.463378e-01	4.263773e-02	7.837769e-02	-3.573996e-02
450           	5.664236e-02	-9.474762e-01	4.194037e-02	7.761254e-02	-3.567217e-02
500           	5.758132e-02	-9.477598e-01	4.374448e-02	7.945356e-02	-3.570908e-02
